"","ID","Journal","Volume","Number","Page.range","Authors","Year","Title","DOI","Abstract","journal_code","abstracts_processed"
"666",666,"International Journal of Management Reviews","21","2","256–274","Pelz, Michael",2019,"Can Management Accounting Be Helpful for Young and Small Companies? Systematic Review of a Paradox","10.1111/ijmr.12197","While management accounting (MA) implies potential benefits for large established companies, its usefulness for young and small companies is less clear. This review analyzes and partially resolves the paradox and provides a structured overview of present knowledge. A systematic literature search yielded 67 empirical papers in 25 journals. Drawing on the results of a two‐step coding process, this study proposes 20 novel second‐level constructs expressing the types of MA, their antecedents and their consequences in young and small companies. The main results show that, in discussing MA, the literature refers mainly to business planning, accounting‐based management control activities and financial accounting. Most studies find MA to be helpful for young and small companies because it provides tools to overcome difficulties arising from company growth and reduces information asymmetry with external partners. Overall, however, the empirical literature on this topic is highly concentrated, offers theoretical construct definitions of poor quality, and lacks a clear statement of what MA really does in young and small companies. Therefore, future research and theory development are warranted. 
","ijmr","while management accounting ma implies potential benefits for large established companies its usefulness for young and small companies is less clear this review analyzes and partially resolves the paradox and provides a structured overview of present knowledge a systematic literature search yielded empirical papers in journals drawing on the results of a two step coding process this study proposes novel second level constructs expressing the types of ma their antecedents and their consequences in young and small companies the main results show that in discussing ma the literature refers mainly to business planning accounting based management control activities and financial accounting most studies find ma to be helpful for young and small companies because it provides tools to overcome difficulties arising from company growth and reduces information asymmetry with external partners overall however the empirical literature on this topic is highly concentrated offers theoretical construct definitions of poor quality and lacks a clear statement of what ma really does in young and small companies therefore future research and theory development are warranted"
"667",667,"International Journal of Management Reviews","21","2","185–208","Pinto, Jonathan",2019,"Key to Effective Organizational Performance Management Lies at the Intersection of Paradox Theory and Stakeholder Theory","10.1111/ijmr.12199","One of the fundamental and recurring issues in performance management is the adoption of a simplistic, short‐term, narrow, metrics‐oriented approach, which often results in unintended negative outcomes, some of which could be disastrous. This paper makes the case that the key to preventing this syndrome lies at the intersection of paradox and stakeholder theories. Both theories encourage a more complex, long‐term, holistic, balanced approach to management. Stakeholder theory focuses on addressing the many (sometimes conflicting) goals of multiple stakeholders, and paradox theory provides insights into how this challenging task (i.e. of simultaneously addressing multiple conflicting priorities) can be accomplished. Thus, the former provides the 'what' and the latter the 'how' of effective organizational performance management. Accordingly, the literature at the intersection of both theories (composed of 69 scholarly outputs), was reviewed, and in so doing, identified seven domain areas and 21 constructs, all of which implicitly deal with either performance management or its communication, thereby lending support to this paper's thesis. The implications of this review for both theory and practice, including the role of paradoxical cognitive mechanisms, is discussed. 
","ijmr","one of the fundamental and recurring issues in performance management is the adoption of a simplistic short term narrow metrics oriented approach which often results in unintended negative outcomes some of which could be disastrous this paper makes the case that the key to preventing this syndrome lies at the intersection of paradox and stakeholder theories both theories encourage a more complex long term holistic balanced approach to management stakeholder theory focuses on addressing the many sometimes conflicting goals of multiple stakeholders and paradox theory provides insights into how this challenging task i e of simultaneously addressing multiple conflicting priorities can be accomplished thus the former provides the what and the latter the how of effective organizational performance management accordingly the literature at the intersection of both theories composed of scholarly outputs was reviewed and in so doing identified seven domain areas and constructs all of which implicitly deal with either performance management or its communication thereby lending support to this paper thesis the implications of this review for both theory and practice including the role of paradoxical cognitive mechanisms is discussed"
"668",668,"International Journal of Management Reviews","21","1","115–136","Sweeney, Anne; Clarke, Nicholas; Higgs, Malcolm",2019,"Shared Leadership in Commercial Organizations: A Systematic Review of Definitions, Theoretical Frameworks and Organizational Outcomes","10.1111/ijmr.12181","The importance of context has been well established in studies of leadership (Bryman, A. and Stephens, M. (1996). The importance of context: qualitative research and the study of leadership. Leadership Quarterly, 7, pp. 353–371; Pettigrew, A. and Whipp, R. (1991). Managing Change for Competitive Success. Oxford: Blackwell). However, recent reviews of shared leadership have tended to merge findings across commercial and non‐commercial settings, disregarding contextual differences in these distinctive domains. Acknowledging that the challenges of leadership may vary in different organizational contexts, this paper argues that a focused review of shared leadership in commercial organizations (COs) is needed. The authors thus systematically review findings from over twenty years of empirical research on the practice of shared leadership in commercial organizations, critically reviewing definitions, theoretical dispositions and measurement approaches adopted in the field, before evaluating the impact of shared leadership on performance in this context. Findings from commercial and non‐ commercial organizations are then compared, highlighting significant differences in the conceptualization of shared leadership in these distinct settings. Contributing to theory in this field, a framework is developed, mapping the landscape of current research in commercial contexts, revealing critical gaps in our present understanding of shared leadership processes. Consequently, a model summarizing a proposed research agenda for future studies is provided, highlighting the need for such research to focus on the interactions of individuals as they share in the leadership of their team. 
","ijmr","the importance of context has been well established in studies of leadership bryman a and stephens m the importance of context qualitative research and the study of leadership leadership quarterly pp pettigrew a and whipp r managing change for competitive success oxford blackwell however recent reviews of shared leadership have tended to merge findings across commercial and non commercial settings disregarding contextual differences in these distinctive domains acknowledging that the challenges of leadership may vary in different organizational contexts this paper argues that a focused review of shared leadership in commercial organizations cos is needed the authors thus systematically review findings from over twenty years of empirical research on the practice of shared leadership in commercial organizations critically reviewing definitions theoretical dispositions and measurement approaches adopted in the field before evaluating the impact of shared leadership on performance in this context findings from commercial and non commercial organizations are then compared highlighting significant differences in the conceptualization of shared leadership in these distinct settings contributing to theory in this field a framework is developed mapping the landscape of current research in commercial contexts revealing critical gaps in our present understanding of shared leadership processes consequently a model summarizing a proposed research agenda for future studies is provided highlighting the need for such research to focus on the interactions of individuals as they share in the leadership of their team"
"669",669,"International Journal of Management Reviews","21","1","76–96","Tweedie, Dale; Wild, David; Rhodes, Carl; Martinov‐Bennie, Nonna",2019,"How Does Performance Management Affect Workers? Beyond Human Resource Management and Its Critique","10.1111/ijmr.12177","While performance management (PM) is pervasive across contemporary workplaces, extant research into how performance management affects workers is often indirect or scattered across disciplinary silos. This paper reviews and synthesizes this research, identifies key gaps and explores 'recognition theory' as a nascent framework that can further develop this important body of knowledge. The paper develops in three main stages. The first stage reviews 'mainstream' human resource management (HRM) research. While this research analyses workers' reactions to performance management in some depth, its focus on serving organizational goals marginalizes extra‐organizational impacts. The second stage reviews more critical HRM research, which interprets performance management as a disciplinary, coercive or inequitable management device. While this literature adds an important focus on organizational power, there is scope to analyse further how PM affects workers' well‐being. To develop this strand of PM research, the third stage turns to the emerging field of recognition theory independently developed by Axel Honneth and Christophe Dejours. The authors focus especially on recognition theory's exploration of how (in)adequate acknowledgement of workers' contributions can significantly affect their well‐being at the level of self‐conception. Although recognition theory is inherently critical, the paper argues that it can advance both mainstream and critical performance management research, and also inform broader inquiry into recognition and identity at work. 
","ijmr","while performance management pm is pervasive across contemporary workplaces extant research into how performance management affects workers is often indirect or scattered across disciplinary silos this paper reviews and synthesizes this research identifies key gaps and explores cognition theory as a nascent framework that can further develop this important body of knowledge the paper develops in three main stages the first stage reviews ainstream human resource management hrm research while this research analyses workers reactions to performance management in some depth its focus on serving organizational goals marginalizes extra organizational impacts the second stage reviews more critical hrm research which interprets performance management as a disciplinary coercive or inequitable management device while this literature adds an important focus on organizational power there is scope to analyse further how pm affects workers well being to develop this strand of pm research the third stage turns to the emerging field of recognition theory independently developed by axel honneth and christophe dejours the authors focus especially on recognition theory exploration of how in adequate acknowledgement of workers contributions can significantly affect their well being at the level of self conception although recognition theory is inherently critical the paper argues that it can advance both mainstream and critical performance management research and also inform broader inquiry into recognition and identity at work"
"670",670,"International Journal of Management Reviews","21","4","498–518","Warren, Meg A.; Donaldson, Scott I.; Lee, Joo Young; Donaldson, Stewart I.",2019,"Reinvigorating Research on Gender in the Workplace Using a Positive Work and Organizations Perspective","10.1111/ijmr.12206","Gender inequality is a widespread organizational challenge, however, research on gender in the workplace suffers from stagnation in mainstream management research. A positive work and organizations perspective has the capacity to augment problem‐focused gender research with new approaches to boosting gender equity. Yet, contributions that utilize such a perspective are sparsely spread across nearly two decades' time and dozens of journals with differing disciplinary foci. This paper aims to reinvigorate gender research in management research by consolidating insights that have emerged through the application of a positive perspective. Therefore, we systematically review articles published in 21 management and psychological journals between 2001 and 2016. Four main themes emerged as drivers of gender research from a positive perspective: performance, social integration, well‐being, and justice/moral matters. The contributions within these themes highlight pathways to organizational flourishing through positive diversity and inclusion behaviors and practices. Thus, this paper provides a conceptual map for navigating and planning further research. 
","ijmr","gender inequality is a widespread organizational challenge however research on gender in the workplace suffers from stagnation in mainstream management research a positive work and organizations perspective has the capacity to augment problem focused gender research with new approaches to boosting gender equity yet contributions that utilize such a perspective are sparsely spread across nearly two decades time and dozens of journals with differing disciplinary foci this paper aims to reinvigorate gender research in management research by consolidating insights that have emerged through the application of a positive perspective therefore we systematically review articles published in management and psychological journals between and four main themes emerged as drivers of gender research from a positive perspective performance social integration well being and justice moral matters the contributions within these themes highlight pathways to organizational flourishing through positive diversity and inclusion behaviors and practices thus this paper provides a conceptual map for navigating and planning further research"
"671",671,"International Journal of Management Reviews","21","1","3–23","Xheneti, Mirela; Madden, Adrian; Thapa Karki, Shova",2019,"Value of Formalization for Women Entrepreneurs in Developing Contexts: A Review and Research Agenda","10.1111/ijmr.12172","Formalization is constantly being proposed as being of great benefit to business expansion and success. This claim, however, has not been previously tested through a review of the empirical evidence, especially in relation to the large number of women in the developing world that operate in the informal economy. Therefore, the aim of this review is to systematize the current empirical evidence on gender, the informal economy and formalization, using a narrative synthesis of 76 papers. The papers were analysed along three main analytical themes – identity, institutions, and constraints and preferences – highlighting their conceptualization in studies of different academic disciplines – economics, sociology, entrepreneurship and development. The review calls for more accurate accounts of formalization decisions by widening the lens through which formalization decisions are conceptualized. These should take account of the rich contextual and temporal dimensions central to these decisions, and recognize that gender alone is not a sufficient factor in explaining women's choices in the informal economy. The review also highlights limitations in relation to the limited conceptual and empirical evidence on which development priorities such as formalization are set. The authors propose a research agenda centred on the need for conceptual frameworks that are more sensitive towards the multidimensional contexts of women's choices. 
","ijmr","formalization is constantly being proposed as being of great benefit to business expansion and success this claim however has not been previously tested through a review of the empirical evidence especially in relation to the large number of women in the developing world that operate in the informal economy therefore the aim of this review is to systematize the current empirical evidence on gender the informal economy and formalization using a narrative synthesis of papers the papers were analysed along three main analytical themes identity institutions and constraints and preferences highlighting their conceptualization in studies of different academic disciplines economics sociology entrepreneurship and development the review calls for more accurate accounts of formalization decisions by widening the lens through which formalization decisions are conceptualized these should take account of the rich contextual and temporal dimensions central to these decisions and recognize that gender alone is not a sufficient factor in explaining women choices in the informal economy the review also highlights limitations in relation to the limited conceptual and empirical evidence on which development priorities such as formalization are set the authors propose a research agenda centred on the need for conceptual frameworks that are more sensitive towards the multidimensional contexts of women choices"
"672",672,"International Journal of Management Reviews","21","4","427–446","Yang, Deli",2019,"Patent Litigation Strategy and Its Effects on the Firm","10.1111/ijmr.12202","Patent litigation has attracted scholarly attention to reconcile multiple views for new research. Accordingly, this paper addresses patent litigation strategy and its effect on the firm. Based on 106 papers and articles, six books, the author's logic and practice impressions, it first defines patent litigation strategy and differentiates similar concepts. Second, based on the process, the author fine‐tunes patent litigation strategy into three tactics: threat, filing and verdict. Then, she categorizes and examines the impact of patent litigation on market value, monetary gain/loss and strategic collaboration. The findings show that the effect on the market value is more complex and ambiguous than anticipated, and sometimes contradictory. The analysis shows the consistency of monetary effect in practice, that firms tend to have higher monetary gains from private settlement than from legal awards. It also demonstrates that existing studies lag behind reality in investigating the detailed role of patent litigation on strategic collaboration from partnership (e.g. licensing and strategic alliance) to takeover (i.e. merger and acquisition). Finally, the author reflects on the findings, and maps out critical paths toward new research. This process also reveals that stakeholders, industrial settings and country environments moderate the studied relationship. This paper contributes to knowledge and practice: appreciates the interdisciplinary endeavors to draw the findings; categorizes patent litigation and its effect; and critiques prior studies on the relationship to integrate knowledge for future research. 
","ijmr","patent litigation has attracted scholarly attention to reconcile multiple views for new research accordingly this paper addresses patent litigation strategy and its effect on the firm based on papers and articles six books the author logic and practice impressions it first defines patent litigation strategy and differentiates similar concepts second based on the process the author fine tunes patent litigation strategy into three tactics threat filing and verdict then she categorizes and examines the impact of patent litigation on market value monetary gain loss and strategic collaboration the findings show that the effect on the market value is more complex and ambiguous than anticipated and sometimes contradictory the analysis shows the consistency of monetary effect in practice that firms tend to have higher monetary gains from private settlement than from legal awards it also demonstrates that existing studies lag behind reality in investigating the detailed role of patent litigation on strategic collaboration from partnership e g licensing and strategic alliance to takeover i e merger and acquisition finally the author reflects on the findings and maps out critical paths toward new research this process also reveals that stakeholders industrial settings and country environments moderate the studied relationship this paper contributes to knowledge and practice appreciates the interdisciplinary endeavors to draw the findings categorizes patent litigation and its effect and critiques prior studies on the relationship to integrate knowledge for future research"
"673",673,"International Journal of Management Reviews","22","2","177–192","Bell, Emma; Meriläinen, Susan; Taylor, Scott; Tienari, Janne",2020,"Dangerous Knowledge: The Political, Personal, and Epistemological Promise of Feminist Research in Management and Organization Studies","10.1111/ijmr.12221","Feminism is a theoretical perspective and social movement that seeks to reduce, and ultimately eradicate, sexist inequality and oppression. Yet feminist research remains marginal in the most prestigious management and organization studies (MOS) journals, as defined by the Financial Times 50 (FT50) list. Based on a review of how feminism is framed in these journals (1990–2018), we identify three overlapping categories of how feminism is represented: (i) as a conceptual resource which is used to address specific topics; (ii) as an empirical category associated with the study of specific types of organization or organizing practice; and, rarely, (iii) as a methodology for producing knowledge. While feminist knowledge exists beyond these parameters, such as in the journal Gender, Work & Organization, we suggest that the relative absence of explicitly feminist scholarship in the most prestigious MOS journals reflects an epistemic oppression which arises from the threat that feminism presents to established ways of knowing. Drawing on Sara Ahmed's work, we use the 'sweaty concept' of dangerous knowledge to show how feminism positions knowledge as personal, introducing a radical form of researcher subjectivity which relies on the acknowledgment of uncertainty. We conclude by calling for the epistemic oppression of feminist scholarship to be recognized and redressed so the potential of feminism as a way of knowing about organizations and management can be realized. This, we argue, would enable feminist research praxis in MOS to develop as an alternative location of, in bell hooks' term, healing that challenges the main/malestream. 
","ijmr","feminism is a theoretical perspective and social movement that seeks to reduce and ultimately eradicate sexist inequality and oppression yet feminist research remains marginal in the most prestigious management and organization studies mos journals as defined by the financial times ft list based on a review of how feminism is framed in these journals we identify three overlapping categories of how feminism is represented i as a conceptual resource which is used to address specific topics ii as an empirical category associated with the study of specific types of organization or organizing practice and rarely iii as a methodology for producing knowledge while feminist knowledge exists beyond these parameters such as in the journal gender work organization we suggest that the relative absence of explicitly feminist scholarship in the most prestigious mos journals reflects an epistemic oppression which arises from the threat that feminism presents to established ways of knowing drawing on sara ahmed work we use the weaty concept of dangerous knowledge to show how feminism positions knowledge as personal introducing a radical form of researcher subjectivity which relies on the acknowledgment of uncertainty we conclude by calling for the epistemic oppression of feminist scholarship to be recognized and redressed so the potential of feminism as a way of knowing about organizations and management can be realized this we argue would enable feminist research praxis in mos to develop as an alternative location of in bell hooks term healing that challenges the main malestream"
"674",674,"International Journal of Management Reviews","22","4","323–355","Engelmann, Alexander; Kump, Barbara; Schweiger, Christina",2020,"Clarifying the Dominant Logic Construct by Disentangling and Reassembling its Dimensions","10.1111/ijmr.12227","Since its introduction, Prahalad and Bettis's concept of dominant logic has informed a variety of scholarly conversations in management and strategy research. However, scholars have interpreted dominant logic in different ways, emphasizing different aspects, such as managerial mindsets, administrative tools and management functions, as defining elements. Similarly, empirical studies have captured various aspects, such as meanings of entrepreneurs, observable strategic decisions and business model similarity, as indicators of dominant logic. Consequently, the concept lacks analytical clarity, and it is difficult to compare or generalize findings from this diverse set of studies. The aim of this review is to improve conceptual clarity by analysing, comparing and evaluating the existing interpretations and assessments of dominant logic in 94 studies. In the first part of the review, by disentangling the interpretations of the concept, we show that dominant logic consists of four defining dimensions: (i) shared mental models; (ii) values and premises; (iii) organizational practices; and (iv) organizing structures. In the second part, we reassemble dominant logic into an integrative model and theorize about how these dimensions operate in concert to produce a firm's dominant logic. Thus, our main contribution is a clarification and synthesis of the literature, which comes with implications on how future research can conceptualize and operationalize dominant logic more consistently. 
","ijmr","since its introduction prahalad and bettis concept of dominant logic has informed a variety of scholarly conversations in management and strategy research however scholars have interpreted dominant logic in different ways emphasizing different aspects such as managerial mindsets administrative tools and management functions as defining elements similarly empirical studies have captured various aspects such as meanings of entrepreneurs observable strategic decisions and business model similarity as indicators of dominant logic consequently the concept lacks analytical clarity and it is difficult to compare or generalize findings from this diverse set of studies the aim of this review is to improve conceptual clarity by analysing comparing and evaluating the existing interpretations and assessments of dominant logic in studies in the first part of the review by disentangling the interpretations of the concept we show that dominant logic consists of four defining dimensions i shared mental models ii values and premises iii organizational practices and iv organizing structures in the second part we reassemble dominant logic into an integrative model and theorize about how these dimensions operate in concert to produce a firm dominant logic thus our main contribution is a clarification and synthesis of the literature which comes with implications on how future research can conceptualize and operationalize dominant logic more consistently"
"675",675,"International Journal of Management Reviews","22","1","33–52","Gulbrandsen, Ib T.; Plesner, Ursula; Raviola, Elena",2020,"New Media and Strategy Research: Towards a Relational Agency Approach","10.1111/ijmr.12213","A rapidly growing body of literature focuses on the relationship between new media and strategy, and offers recommendations regarding appropriate strategic actions in relation to new media. This paper systematically reviews 130 articles with a focus on the diagnoses they provide and the directions they offer strategists regarding the role of new media in strategy. The analysis identifies four main ways of conceptualizing new media in the literature: as forces in an increasingly turbulent strategic environment; as changing the role of strategists; as tools for strategically engaging stakeholders; and as both increasing and decreasing the control necessary for strategy making. These conceptualizations are based on often‐implicit assumptions about 'agency' in strategy: new media are seen either as forces influencing strategy or as tools in the hands of humans, who are portrayed as the agents of strategy. In both cases, new media are black‐boxed, such that their specific properties and ways of becoming embedded in particular contexts are rarely examined. After discussing these assumptions and a limited number of studies that challenge them, the paper develops an approach to strategy and new media based on a relational understanding of agency, an attention to technological affordances and a methodological sensitivity to tracing strategy‐making assemblages of human and non‐human elements. We argue that future research based on this approach will advance our knowledge of strategy making in ways that do not take new media for granted and ways that are attentive to different kinds of agency. 
","ijmr","a rapidly growing body of literature focuses on the relationship between new media and strategy and offers recommendations regarding appropriate strategic actions in relation to new media this paper systematically reviews articles with a focus on the diagnoses they provide and the directions they offer strategists regarding the role of new media in strategy the analysis identifies four main ways of conceptualizing new media in the literature as forces in an increasingly turbulent strategic environment as changing the role of strategists as tools for strategically engaging stakeholders and as both increasing and decreasing the control necessary for strategy making these conceptualizations are based on often implicit assumptions about agency in strategy new media are seen either as forces influencing strategy or as tools in the hands of humans who are portrayed as the agents of strategy in both cases new media are black boxed such that their specific properties and ways of becoming embedded in particular contexts are rarely examined after discussing these assumptions and a limited number of studies that challenge them the paper develops an approach to strategy and new media based on a relational understanding of agency an attention to technological affordances and a methodological sensitivity to tracing strategy making assemblages of human and non human elements we argue that future research based on this approach will advance our knowledge of strategy making in ways that do not take new media for granted and ways that are attentive to different kinds of agency"
"676",676,"International Journal of Management Reviews","22","1","10–32","Hakala, Henri; O'Shea, Gregory; Farny, Steffen; Luoto, Seppo",2020,"Re‐storying the Business, Innovation and Entrepreneurial Ecosystem Concepts: The Model‐Narrative Review Method","10.1111/ijmr.12212","We propose a novel literature review method in order to systematically trace and reveal the dominant narratives of a body of literature: the model‐narrative review method. We apply this method to an ever‐growing literature on ecosystems in business studies, as it resembles a rich knowledge base with somewhat competing, overarching stories, replete with emplotted characters, systematic puzzles and embellished scientific drama. To interpret these unfolding storylines, we both separately engage with and connect seminal work on business, entrepreneurial and innovation ecosystems. Through thematic reading we map the key themes and scientific puzzles in each ecosystem type. Through enstoried reading we identify how authors construct the plot, narrative setting, emplotted characters, narrative voices and moral lessons around ecosystems. Through rhetorical reading we explicate the rhetorical devices and strategies that claim the relevance of their work. Our findings expose a number of hidden meanings and underlying assumptions, adding transparency to ecosystem rhetorics and enhancing conceptual clarity. Altogether, this method offers a systematic construction of model‐narratives to synthesize and critically reflect upon similarities and differences between related concepts and opens up space for alternative research questions. 
","ijmr","we propose a novel literature review method in order to systematically trace and reveal the dominant narratives of a body of literature the model narrative review method we apply this method to an ever growing literature on ecosystems in business studies as it resembles a rich knowledge base with somewhat competing overarching stories replete with emplotted characters systematic puzzles and embellished scientific drama to interpret these unfolding storylines we both separately engage with and connect seminal work on business entrepreneurial and innovation ecosystems through thematic reading we map the key themes and scientific puzzles in each ecosystem type through enstoried reading we identify how authors construct the plot narrative setting emplotted characters narrative voices and moral lessons around ecosystems through rhetorical reading we explicate the rhetorical devices and strategies that claim the relevance of their work our findings expose a number of hidden meanings and underlying assumptions adding transparency to ecosystem rhetorics and enhancing conceptual clarity altogether this method offers a systematic construction of model narratives to synthesize and critically reflect upon similarities and differences between related concepts and opens up space for alternative research questions"
"677",677,"International Journal of Management Reviews","22","3","249–263","Jalan, Ishan",2020,"Treason or Reason? Psychoanalytical Insights on Whistleblowing","10.1111/ijmr.12224","This paper critically examines and reviews the dominant and mainstream perspectives and literature on whistleblowing and offers a new approach to understanding this complex phenomenon using a psychoanalytical lens. Almost all studies on whistleblowing perceive it as an ethical, moral or altruistic act on the part of the whistleblower and overlook the whistleblower's subjectivity in question. This paper offers an in‐depth review of the literature to explore this and addresses the emergent but nascent discourses on whistleblower's subjectivity, offering an alternative perspective suggesting that not all whistleblowers may be prompted by moral compulsion or desire to speak truth to power. It suggests that underlying emotional and unconscious dynamics such as narcissism, in particular narcissistic rage, disillusionment and a sense of betrayal, can be possible factors in deciding to 'blow the whistle'. Furthermore, the concept of psychological defences and defence mechanisms is discussed in depth and is used to illustrate the dynamics above. In doing so, this paper draws upon extant literatures to challenge and shift existing paradigms on normative whistleblowing literature, offering novel and significant theoretical contributions and an alternative strategic platform for new directions in research and practice. 
","ijmr","this paper critically examines and reviews the dominant and mainstream perspectives and literature on whistleblowing and offers a new approach to understanding this complex phenomenon using a psychoanalytical lens almost all studies on whistleblowing perceive it as an ethical moral or altruistic act on the part of the whistleblower and overlook the whistleblower subjectivity in question this paper offers an in depth review of the literature to explore this and addresses the emergent but nascent discourses on whistleblower subjectivity offering an alternative perspective suggesting that not all whistleblowers may be prompted by moral compulsion or desire to speak truth to power it suggests that underlying emotional and unconscious dynamics such as narcissism in particular narcissistic rage disillusionment and a sense of betrayal can be possible factors in deciding to blow the whistle furthermore the concept of psychological defences and defence mechanisms is discussed in depth and is used to illustrate the dynamics above in doing so this paper draws upon extant literatures to challenge and shift existing paradigms on normative whistleblowing literature offering novel and significant theoretical contributions and an alternative strategic platform for new directions in research and practice"
"678",678,"International Journal of Management Reviews","22","2","193–216","Lee, Eun Su; Szkudlarek, Betina; Nguyen, Duc Cuong; Nardon, Luciara",2020,"Unveiling the Canvas Ceiling: A Multidisciplinary Literature Review of Refugee Employment and Workforce Integration","10.1111/ijmr.12222","Increasing levels of displacement and the need to integrate refugees in the workforce pose new challenges to organizations and societies. Extant research on refugee employment and workforce integration currently resides across various disconnected disciplines, posing a significant challenge for management scholars to contribute to timely and relevant solutions. In this paper, we endeavour to address this challenge by reviewing and synthesizing multidisciplinary literature on refugee employment and workforce integration. Using a relational framework, we organize our findings around three levels of analysis – institutional, organizational and individual – to outline the complexity of factors affecting refugees' employment outcomes. Based on our analysis, we introduce and elaborate on the phenomenon of the canvas ceiling ‒ a systemic, multilevel barrier to refugee workforce integration and professional advancement. The primary contributions of this paper are twofold. First, we map and integrate the multidisciplinary findings on the challenges of refugee workforce integration. Second, we provide management scholarship with a future research agenda to address the knowledge gap identified in this review and advance practical developments in this domain. 
","ijmr","increasing levels of displacement and the need to integrate refugees in the workforce pose new challenges to organizations and societies extant research on refugee employment and workforce integration currently resides across various disconnected disciplines posing a significant challenge for management scholars to contribute to timely and relevant solutions in this paper we endeavour to address this challenge by reviewing and synthesizing multidisciplinary literature on refugee employment and workforce integration using a relational framework we organize our findings around three levels of analysis institutional organizational and individual to outline the complexity of factors affecting refugees employment outcomes based on our analysis we introduce and elaborate on the phenomenon of the canvas ceiling a systemic multilevel barrier to refugee workforce integration and professional advancement the primary contributions of this paper are twofold first we map and integrate the multidisciplinary findings on the challenges of refugee workforce integration second we provide management scholarship with a future research agenda to address the knowledge gap identified in this review and advance practical developments in this domain"
"679",679,"International Journal of Management Reviews","22","2","120–149","Mosonyi, Szilvia; Empson, Laura; Gond, Jean‐Pascal",2020,"Management Consulting: Towards an Integrative Framework of Knowledge, Identity, and Power","10.1111/ijmr.12218","This paper reviews the past 28 years of scholarship on management consulting to synthesize the field and establish more broadly its contribution to management research. Through a systematic review of 219 articles, we identify three core conceptual themes – knowledge, identity, and power – that have dominated the literature to date. Through a thematic inductive analysis of a subsection of articles, we then investigate how these themes have been defined, used, and linked. This allows us to uncover and problematize the relationships between these themes. In making explicit underlying theoretical assumptions and relationships between knowledge, identity, and power, we induce a unique framework that can guide and support future studies, instigate metaparadigmatic dialogue, and thus help consolidate the field. 
","ijmr","this paper reviews the past years of scholarship on management consulting to synthesize the field and establish more broadly its contribution to management research through a systematic review of articles we identify three core conceptual themes knowledge identity and power that have dominated the literature to date through a thematic inductive analysis of a subsection of articles we then investigate how these themes have been defined used and linked this allows us to uncover and problematize the relationships between these themes in making explicit underlying theoretical assumptions and relationships between knowledge identity and power we induce a unique framework that can guide and support future studies instigate metaparadigmatic dialogue and thus help consolidate the field"
"680",680,"International Journal of Management Reviews","22","4","356–377","Niesten, Eva; Jolink, Albert",2020,"Motivations for Environmental Alliances: Generating and Internalizing Environmental and Knowledge Value","10.1111/ijmr.12228","Environmental alliances are a common response to societal sustainability demands. In environmental alliances, firms collaboratively exploit and explore environmental technologies to address market opportunities while simultaneously generating positive environmental impacts. A striking idiosyncrasy is that in addition to economic value, environmental alliances generate two types of external value: environmental value from positive effects on air, water, land and biodiversity, and knowledge value from innovations in environmental technologies. Research on motivations for environmental alliances is dispersed and underdeveloped compared to the well‐established literature on motivations for strategic alliances that emphasize economic value. This study therefore develops a classification of motivations for environmental alliances by combining the literature on strategic alliances and that on environmental and knowledge value. The resulting classification includes motivations for environmental alliances to generate environmental and knowledge value as well as motivations to create economic value by internalizing environmental and knowledge value. A systematic review of 123 articles on environmental inter‐firm alliances identifies specific motivations to populate the new classification. We show that alliance partners are motivated to share sustainable resources, reduce sustainability risk, respond to stakeholders or invest in specific sustainable assets to generate external value. They collaborate to reduce costs or enhance competitive advantage, reputation or legitimacy to internalize external value. The resource‐based view, resource‐dependence view, institutional theory and transaction cost economics have not previously distinguished between motivations to generate and internalize external value. We extend their area of application from strategic alliances to environmental alliances, and thus beyond the exclusive pursuit of economic value. 
","ijmr","environmental alliances are a common response to societal sustainability demands in environmental alliances firms collaboratively exploit and explore environmental technologies to address market opportunities while simultaneously generating positive environmental impacts a striking idiosyncrasy is that in addition to economic value environmental alliances generate two types of external value environmental value from positive effects on air water land and biodiversity and knowledge value from innovations in environmental technologies research on motivations for environmental alliances is dispersed and underdeveloped compared to the well established literature on motivations for strategic alliances that emphasize economic value this study therefore develops a classification of motivations for environmental alliances by combining the literature on strategic alliances and that on environmental and knowledge value the resulting classification includes motivations for environmental alliances to generate environmental and knowledge value as well as motivations to create economic value by internalizing environmental and knowledge value a systematic review of articles on environmental inter firm alliances identifies specific motivations to populate the new classification we show that alliance partners are motivated to share sustainable resources reduce sustainability risk respond to stakeholders or invest in specific sustainable assets to generate external value they collaborate to reduce costs or enhance competitive advantage reputation or legitimacy to internalize external value the resource based view resource dependence view institutional theory and transaction cost economics have not previously distinguished between motivations to generate and internalize external value we extend their area of application from strategic alliances to environmental alliances and thus beyond the exclusive pursuit of economic value"
